source,case_id,split,clause_text,gold_risk_level,gold_risk_type,label_grade,note
법제처 국가법령정보센터/ftc,2008약관1778,train,"보험무료 가입선택: 미선택시 대중교통상해보험으로 선택됨.",위험,일방적 급부·조건 변경,A,"공정위 제2008-053호, 사건번호 2008약관1778 · 국가법령정보센터 ftcSeq=10835, 원문 이미지 flSeq=120743503. 고객이 선택하지 않은 경우에도 침묵을 보험가입 의사로 간주하는 조항은 의사표시 의제와 개인정보 침해 우려가 있어 약관법 제12조 제1호에 따라 무효라고 의결. [직접검수 2026-09-03]"
법제처 국가법령정보센터/ftc,2010약관2640,train,"갑은 갑의 사정으로 인하여 을의 의사에 반하여 본 계약을 일방적으로 해제 또는 해지할 경우 당해 위임 채권액에 대하여 약정된 추심 수수료율에 해당하는 금액을 위약금으로 을에게 지급하기로 한다.",위험,과도한 위약금,A,"공정위 제2010-039호, 사건번호 2010약관2640 · 국가법령정보센터 ftcSeq=1261, 원문 이미지 flSeq=120685025. 계약 초기 해지에도 추심 완료 때의 수수료 전액 상당 위약금을 부과하여 고객의 해지권을 사실상 제한하므로 약관법 제8조에 따라 무효라고 의결. [직접검수 2026-09-03]"
법제처 국가법령정보센터/ftc,2010약관2640,train,"계약과 관련하여 소송의 필요가 생긴 때에는 을의 본사 또는 지사 소재지를 관할하는 법원을 관할법원으로 한다.",위험,권리행사 제한,A,"공정위 제2010-039호, 사건번호 2010약관2640 · 국가법령정보센터 ftcSeq=1261, 원문 이미지 flSeq=120685027. 채권추심업자의 소재지만 전속 관할로 정해 멀리 떨어진 고객에게 소송상 불이익을 주므로 약관법 제14조에 따라 무효라고 의결. 같은 사건의 독립 조항이며 동일 split에 배치. [직접검수 2026-09-03]"
법제처 국가법령정보센터/ftc,2006약관1331,train,"골드회원 서비스의 결제가 이루어진 달 포함 3개월 이상을 사용하신 경우 서비스 해지가 가능합니다.",위험,권리행사 제한,A,"공정위 제2006-068호, 사건번호 2006약관1331 · 국가법령정보센터 ftcSeq=11331, 원문 이미지 flSeq=120746079. 유료회원이 최소 3개월을 사용해야만 해지할 수 있게 한 조항은 고객의 해지권을 부당하게 제한하여 약관법 제6조 제2항 제1호에 따라 무효라고 의결. 결제사업자의 유료회원 서비스로 핵심 금융소비자 계약과는 별도 집계. [직접검수 2026-09-03]"
법제처 국가법령정보센터/prec,2002다64551,train,"은행이 상계를 하는 경우 채권·채무의 이자 등과 지연배상금의 계산기간은 은행이 상계를 위한 계산을 하는 날까지로 한다.",위험,불명확한 수수료·이자 조건,A,"대법원 2003. 7. 8. 선고 2002다64551 · 국가법령정보센터 precSeq=194506. 은행이 시간 제한 없이 이자·지연손해금 계산 종기를 임의로 정해 채무자가 금액을 예측할 수 없고, 채무자의 상계와도 형평에 반하므로 약관법 제6조에 따라 무효라고 판시. 은행여신거래기본약관의 기업대출 적용 사건이라 B2B로 별도 표시. [직접검수 2026-09-03]"
법제처 국가법령정보센터/prec,2013다86489,train,"제3자가 권한 없이 이용자의 접근매체를 이용하여 전자금융거래를 할 수 있음을 알았거나 쉽게 알 수 있었음에도 이용자가 자신의 접근매체를 누설하거나 노출 또는 방치한 경우에는 금융기관은 책임의 전부 또는 일부를 지지 아니한다.",안전,해당 없음,A,"대법원 2014. 1. 29. 선고 2013다86489 · 국가법령정보센터 precSeq=172572. 전자금융거래 기본약관 제20조가 법령과 같은 범위의 이용자 고의·중과실만 면책사유로 정한 사례. 국제전화를 수상히 여기면서도 계좌·비밀번호·보안카드 정보를 모두 제공한 구체적 사정을 중과실로 인정해 금융기관 전부 면책을 확정했다. 사실관계 없는 일반 면책으로 확장하면 안 되는 경계 안전 표본. [직접검수 2026-09-03]"
법제처 국가법령정보센터/prec,2007다52942,train,"계좌이체에 의한 예금은 예금원장에 입금의 기록이 된 때 예금이 된다.",안전,해당 없음,A,"대법원 2009. 3. 12. 선고 2007다52942 · 국가법령정보센터 precSeq=152030. 계좌이체의 예금 성립시기를 정한 규칙 자체는 유효하나, 같은 은행 지점 간 계좌이체가 아닌 전금에는 그대로 적용되지 않고 입금지점 담당자가 전금을 확인한 때 계약이 성립한다고 제한해석. 기업 고객 사건이지만 범용 예금약관의 적용 경계를 보여주는 안전 표본. [직접검수 2026-09-03]"
법제처 국가법령정보센터/prec,2006다44791,train,"은행은 예금지급청구서의 인영을 신고 인감과 주의 깊게 비교하여 틀림없다고 여기고 입력된 비밀번호가 신고된 것과 같아서 예금을 지급한 때에는 인감의 위조·변조·도용 등으로 거래처에 손해가 생겨도 책임을 지지 않는다. 다만 은행이 위조·변조·도용 사실을 알았거나 알 수 있었을 때에는 그러하지 아니하다.",안전,해당 없음,A,"대법원 2007. 10. 25. 선고 2006다44791 · 국가법령정보센터 판례. 진정한 인감과 비밀번호가 일치한 경우 약관에 따른 지급은 원칙적으로 유효하고, 은행에 추가 확인의무를 지우려면 부정 인출을 의심할 특별한 사정이 필요하다고 판시. 은행이 알았거나 알 수 있었던 경우를 면책에서 제외한 조항이라 무제한 면책과 구분하는 경계 안전 표본. [직접검수 2026-09-03]"
법제처 국가법령정보센터/prec,"2009다61803,61810",train,"창고주는 채권자가 담보물 임의처분 또는 법적 조치 등 어떠한 방법의 담보물 환가와 채무변제 충당시에도 유치권 등과 관련된 우선변제권을 제기할 수 없다.",위험,권리행사 제한,A,"대법원 2009. 12. 10. 선고 2009다61803, 61810 · 국가법령정보센터 precSeq=215783. 창고업자의 보관료 확보를 위한 유치권을 상당한 이유 없이 배제하고 금융기관의 담보권 실행만 우선한 부동문자 조항은 약관법 제6조·제11조 제1호에 따라 무효라고 판시. 금융기관 담보대출 관련 B2B 확약서이므로 금융소비자 핵심 수치와 분리. [직접검수 2026-09-03]"
법제처 국가법령정보센터/ftc,2010약관1544,train,"을이 본 계약을 성실히 이행하지 못하여 갑에게 손해를 끼쳤을 때에는 잔여 차액보증금 전액을 위약벌로서 갑에게 귀속시키며 을은 이에 이의를 제기할 수 없다.",위험,과도한 위약금,A,"공정위 제2010-024호, 사건번호 2010약관1544 · 국가법령정보센터 ftcSeq=1219, 원문 이미지 flSeq=120684867. 계약보증금·지체상금·하자보증금 외에 차액보증금 전액까지 위약벌로 귀속시키는 것은 손해배상액을 과다 예정하고 이의 제기까지 막아 약관법 제8조·제6조에 따라 무효라고 의결. 카드사 IC카드 공급 B2B 계약으로 금융소비자 핵심 수치와 분리. [직접검수 2026-09-03]"
